Name,Role,Company
Aaron Kinworthy,"VP, Federal Sales",Databricks
Aayush Patel,Data & Platform Engineer,Skywatch
Abhishek Patel,Head of Databricks COE,LTIMindtree
Adam Sanders,Architect,Microsoft
Adam Wilson,"Co-Founder, Chief of Product","Divirod, Inc."
Adi Polak,Data & AI Expert,Technologist
Adriana Ispas,Staff Product Manager,Databricks
Ajali Sen,Senior Manager,Accenture
Ajmal Aziz,Solutions Architect,Databricks
Akira Ajisaka,Senior Software Development Engineer,Amazon Web Services
Alan Grogan,"Global Executive Lead, Data Platform Modernization",Avanade
Alana Weiss,Strategic Account Executive - Financial Services,Databricks
Albert Hu,Senior Analytics Engineer,Rec Room
Alessandro Garavaglia,Lead ML Engineer,Gucci
Alex Li,CEO,Kubit
Alexander Booth,Assistant Director of Research & Development,"Texas Rangers Baseball Club, LLC"
Alexander Vanadio,Principal Consultant,Optiv
Ali Ghodsi,Co-founder and CEO,Databricks
Alina Smirnova,Sr Software Engineer,"VIZIO Services, LLC."
Alkis Polyzotis,"Technical Lead, Machine Learning",Databricks
Allison Cheng,Software Engineer,DoorDash
Allison Wang,Software Engineer,Databricks
Allison Portis,Software Engineering,Databricks
Alon Gubkin,Co-Founder & CTO,Aporia
Aman Kapoor,"Head ,Data Platform Services",Petronas
Amanda Liu,,Databricks
Amanda Milberg,Senior Partner Sales Engineer,Dataiku
Amine Benhamza,Lead Solutions Architect,Databricks
Amir Skovronik,Distinguished Software Engineer,Akamai
Amit Kara,"Director, Technical Product Marketing",Databricks
Ananya Ghosh,Business Application Owner for Databricks,Nationwide Insurance
Andrew Sitz,Solutions Architect,Lovelytics
Andrew Blance,Innovation Consultant,Waterstons
Andria Fuquen,Technical Program Manager,Immuta
Andy Hanks,"Senior Data Architect, Analytics Platform",CRISP Shared Services
Andy Kofoid,"President, Global Field Operations",Databricks
Anfisa Kaydak,"VP, Data Product & Engineering",Healthverity
Angela Chu,Senior Solution Architect,Databricks
Anil Puliyeril,Senior Architect,Habu
Anindita Mahapatra,Lead Solutions Architect,Databricks
Anindya Saha,ML Platform Software Engineer,
Ankit Mathur,Software Engineer,Databricks
Ankit Sharma,Senior Technology Architect,Infosys
Anna Russo,Global Director of Data Science,Gucci
Anton Okolnychyi,Software Engineer,Apple
Antoni Baum,Software Engineer,Anyscale
Antonio Castelo,,Collibra
Anup Segu,Co-Head of Data Engineering,YipitData
Ari Kaplan,Head of Evangelism,Databricks
Arsalan Tavakoli-Shiraji,Co-founder & SVP of Field Engineering,Databricks
Artem Meshcheryakov,Consultant,ORAYLIS GmbH
Arthur Li,Senior Software Engineer,Instacart
Arun Pamulapati,Sr. Staff Security Field Engineer,Databricks
Ashish Mehta,Vice President - Data & Analytics Practice,Infosys
Ashish Verma,U.S. Growth and Innovation Leader,Deloitte Consulting
Ashwin Gangadhar,Senior Solutions Architect,MongoDB
Atiyah Curmally,Principal Environmental Specialist,International Finance Corporation
Avinash Sooriyarachchi,Senior Solutions Architect,Databricks
Bala Amavasai,Global Technical Director,Databricks
Basak Eskili,ML Engineer,Ahold Delhaize
Beinan Wang,Senior Staff Software Engineer,Alluxio
Ben Parsons,Co-Founder,Tufa Labs
Ben Wilson,Principal Specialist Solutions Architect,Databricks
Benyue (Emma) Liu,Staff Product Manager,Databricks
Beth Mattson,Senior Data Engineer,Our Family Wizard
Bin Mu,VP of Enterprise Data & Analytics,Adobe
Binwei Yang,software engineer,intel
Blaise Sandwidi,"Lead Data Scientist, As. ESG Officer, PhD",International Finance Corporation (IFC)–World Bank Group
Bob Zhang,Senior Technical Program Manager,Microsoft
Brad Corwin,Chief Data Scientist,Booz Allen Hamilton
Bradley Axen,Machine Learning Engineer,Block
Brendan Barsness,Data and Analytics Architect,Deloitte
Brian Davis,Regional Direcrtor,Databricks
Brian Erickson,Chief Data & Artificial Intelligence Officer (CDAO),U.S. Coast Guard
Brian Battaglia,"Executive, Property Intelligence Solutions",CoreLogic
Brooke Wenig,"Director, Machine Learning Practice",Databricks
Can Efeoglu,Staff Product Manager,Databricks
Chang She,CEO,LanceDB
Chao Sun,Software Engineer,Apple
Chelsea Weintraub,SI Partner Program Lead,Databricks
Chen Guo,Staff Software Engineer,Coinbase
Cheng Yin Eng,Senior Data Scientist,Databricks
Chetan Kalanki,"VP, Global Engineering Services",Impetus Technologies Inc.
Chris Inkpen,Solutions architect,Honeywell
Chris Vo,Lead Member of Tech Staff,AT&T
Chris Stevens,Senior Staff Software Engineer,Databricks
Chris Mantz,Data Architect,Slalom
Chris Hecht,"SVP, Corp Dev and Partnerships",Databricks
Christian Acuña,Senior Data Engineer,Grammarly
Christina Taylor,Senior Staff Data Engineer,Catalyst Software
Christina Taylor,Senior Staff Engineer,Catalyst Software
Christina Taylor,Data Engineer,Toptal
Christopher Locklin,"Engineer Manager, Data Platform",Grammarly
Chunxu Tang,Research Scientist,Alluxio
Cody Davis,Senior Solutions Architect,Databricks
Cody Ferguson,Data & AI Management Branch Chief,Chief Digital and Artificial Intelligence Office - Advana
Conor Murphy,Senior Data Science Manager,Databricks
Corey Zwart,Chief Technology Officer,PumpJack Dataworks
Corey Zumar,Software Engineer,Databricks
Cort Lunke,Data & Analytics Lead - Truterra,Land O'Lakes
Craig Wiley,"Sr. Director of Product, Lakehouse AI",Databricks
Cyrielle Simeone,Principal Product Marketing Manager,Databricks
Dael Williamson,Field CTO,Databricks
Dan Smith,Head of Technology Data & Analytics,Perenti Group
Dan Houston,"Manager, Data Science and Exploration  Advanced Analytics",USPS
Danica Fine,Senior Developer Advocate,Confluent
Daniel Tenedorio,Sr. Staff Software Engineer,Databricks
Daniel Zafar,Resident Solutions Architect,Databricks
Daniela Rus,Professor of EECS and Director of the Computer Science and Artificial Intelligence Laboratory (CSAIL),MIT
Darshana Sivakumar,Staff Product Manager,Databricks
David Talby,CTO,John Snow Labs
David Skinner,Chief Strategy Officer,Acxiom
David Tempelman,Resident Solutions Architect,Databricks
Dawn Song,"Professor, Department of Electrical Engineering and Computer Science",UC Berkeley
Declan Meaney,Solutions Engineer,Databricks
Deepa Paranjpe,Director of Engineering,Discovery
Deepak Sekar,Sr. Solution Architect,Databricks
Demetrios Brinkmann,Founder,MLOps Community
Dennis Tally,Executive Director,KPMG US
Denny Lee,Sr. Staff Developer Advocate,Databricks
Derek Sugden,Ad Measurement Lead – Measurement & Attribution,Effectv
Derek Slager,CTO,Amperity
Derrick Olson,IT Data Science Manager,JetBlue
Devlina Das,Senior Software Engineer,Instacart
Deylo Woo,Data Engineer Architect,Providence Health Services
Diane Woodbridge,"Chair, Associate Professor","MS in Data Science, University of San Francisco"
Dilip Biswal,Senior Architect,Adobe
Dillon Bostwick,Solutions Architect,Databricks
Dipankar Mazumdar,Developer Advocate,Dremio
Don Vu,Chief Data Officer,Northwestern Mutual
Don Scott,"VP, New Product Development",Hitachi Solutions America
Don Bosco Durai,Cofounder and CTO,Privacera
Donghwa Kim,Sr. Director of IT Architecture,"Ontada, a McKesson Company"
Douglas Moore,Lead Specialist Solutions Architect,Databricks
Edward Chiu,CEO,Catalyst
Egor Gryaznov,CTO and Co-founder,Bigeye
Ellen Sulcs,"Director, Data Products & Engineering",T-Mobile
Ellie Hajarian,Snr IT Manager,TD Bank
Elliot Shmukler,Co-Founder & CEO,Anomalo
Emad Mostaque,CEO,stability.ai
Emmanuel Ameisen,,Anthropic
Eric Michielli,"Senior Director, Data and Weather Technology",AccuWeather
Eric Schmidt,"Former CEO and Chairman, Google; Co-Founder",Schmidt Futures
Eric Peter,Sr Staff Product Manager,Databricks
Erika Ehrli,Senior Director of Product Marketing,Databricks
Erin Boelkens,VP of Product,LiveRamp
Erni Durdevic,Specialist Solutions Architect (Geospatial),Databricks
Fabian Jakobs,Sr Staff Software Engineer,Databricks
Fabien Cochet,IT Expert on Data and Analytics,Michelin
Fabio Luis Correia da Silva,Architecture Specialist,Bradesco
Fahad Khan,"Head of Product Management, CVML and Data Platform",Blue River Technology
Faraz Yasrobi,Software Engineer,Grammarly
Francesco Pizzolon,"Director, Analytics Architect",Avanade UK LTD
Francisco Rius,Head of Data Science and Data Engineering,Minecraft at Microsoft
Franco Patano,Lead Product Specialist,Databricks
Frank Munz,Principal Technical Marketing Engineer,Databricks
Ganesh Deivarayan,Sr Manager,American Airlines
Ganesh Chand,Lead Specialist Solutions Architect,Databricks
Gary Jones,Chief Data Engineer,S&P Global Sustainable1
Gaurav Saraf,Product Manager,Databricks
Gavin Edgley,"Global Leader, Value Acceleration",Databricks
Gavita Regunath,Principal Data Scientist,Advancing Analytics
Gengliang Wang,Software Engineer,Databricks
Geoffrey Freeman,Solutions Architect,T-Mobile
George Webster,Chief Security Architect,HSBC
Gerard Sola,Data Engineering Tech Lead,Zurich Insurance Group
Gidon Gershinsky,Lead Systems Architect,Apple
Gilad Asulin,Big Data Engineer Team Leader,"Akamai Technologies, Inc"
Graziano Belmonte,Global IT AI & Data Director,Barilla
Greg Nelson,VP of Data Operations,Highmark Health
Greg Kroleski,Product Management,Databricks
Greg Owen,Staff Software Engineer,Sigma Computing
Gregory Little,DCDAO for Enterprise Platforms and Business Optimization,DoD CFO Transformation Office
Hannes Mühleisen,Co-Founder and CEO,DuckDB Labs
Hao Zhu,Senior Manager,NVIDIA
Hari Rajaram,Sr Director / Principal Data Architect,Procore
Harrison Chase,CEO,LangChain
Harsh Mishra,Lead Enterprise Architect,Australian Rail Track Corporation
Heiko Udluft,Chief Technology Officer,"Divirod, Inc."
Himanshu Raja,"Sr Manager, Product Management, Databricks",Databricks
Himanshu Arora,Resident Solutions Architect,Databricks
Hitesh Sahni,Head of Cloud Data Platforms and Data Engineering Solutions,Deutsche Post DHL
Holly Smith,Senior Resident Solutions Architect,Databricks
Huaxin Gao,Software Engineer,Apple
Hugh Burgin,"Principal, Data & AI Leader",EY
Hyukjin Kwon,Staff Software Engineer,Databricks
Ian Galloway,"Senior Director, Applications",Collins Aerospace
Ian Sotnek,Director of Product,"AI Squared, Inc"
Ifigeneia Derekli,Field Engineering Manager & Unity Catalog Specialist,Databricks
Ioannis Papadopoulos,Cloud Technologist,Databricks
Itai Weiss,Principal partner SA,Databricks
Itai Yaffe,Senior Big Data Architect,Akamai
Ivan Peng,Software Engineer,DoorDash
Jacek Laskowski,IT Freelancer,japila.pl
Jackie Brosamer,Director of Software Engineering,Block
Jacob Renn,Chief Technologist,"AI Squared, Inc"
Jacolon Walker,Co-founder & CTO,Monad
Jaison Dominic,Senior Manager Information Systems,Amgen
Jakob Mund,Sr. Product Manager,Databricks
James Demmel,Dr. Richard Carl Dehmel Distinguished Professor,"University of California, Berkeley"
Jamie Baker,Director of Product,Matillion
Jan Neumann,"VP, Machine Learning",Comcast
Janet Cinfio,Chief Information Officer,Acxiom
Janine Pratt,"General Manager, Healthcare & Medical Devices",Wipro Technologies
Jason Xu,Senior Software Engineer,Airbnb
Jason Shiverick,Data Platform Manager,Rivian
Jay Yang,Principal Data Engineer,Procore
Jay Bhankharia,"Senior Director, Data Partnerships",Databricks
Jaylyn Stoesz,Staff Data Engineer,Ibotta
Jeff Mroz,Technical SME for Cloud and Big Data,Woolpert / US Army Corps of Engineers
Jeff Breeding-Allison,Senior Data Scientist,Mars Petcare
Jeffrey Parkinson,"VP, Core Data Engineering",Northwestern Mutual
Jeffrey Hess,Lead Technologist,Booz Allen Hamilton
Jeffrey Chou,"Co-Founder, CEO",Sync Computing
Jegadeesan Pugazhenthi,Lead Big Data Engineer,AT&T
Jennifer Swanson,Deputy Assistant Secretary of the Army (Data - Engineering - Software),The United States Army
Jeremy Lewallen,Product Manager,Databricks
Jiajun Yao,Software Engineer,Anyscale
Jibreal Hamenoo,Senior DevOps Engineer,Corning Incorporated
Jim Thorstad,Solutions Architect,Databricks
Jim O'Connor,Senior Vice President,Databricks
Jitendra Malik,"Computer Vision Pioneer, Former Head of Facebook AI Research",University of California at Berkeley
Joanna Gurry,"Executive, Data Delivery",National Australia Bank (NAB)
Joe Walsh,Director of Measurement & Attribution,Effectv
John Kutay,Director of Product Management,Striim
John Thompson,"Global Head, Artificial Intelligence",EY
John Derrico,"VP, Data Strategy",Mastercard
John Roussel,CIO,California Department of Public Health (CDPH)
Jojy Matthew,Principal,Deloitte
Jon Osborn,Field CTO,Ascend.io
Jonathan Keller,"Sr. Director, Product Management",Databricks
Jonathan Hollander,"VP, Enterprise Data Technology Platforms",TD Bank
Jordan Donmoyer,"Manager, Customer Data Solutions",The Hershey Company
Jordan Peck,Principal Technical Account Manager,Snowplow
Jose L Sanchez Ros,Head of Data Solution Architecture,Zurich Insurance
Joseph D'Auria,Director Data & Analytics,Department of Veterans Affairs
Joseph Sarsfield,Machine Learning Engineer,Marks & Spencer
Joseph Bradley,Lead Product Specialist,Databricks
Jude Boyle,VP Public Sector,Databricks
Jules Damji,Lead Developer Advocate,Anyscale
Julie Ferris,"Vice President, Advanced Analytics",Definitive Healthcare
Julien Le Dem,Chief Architect,Astronomer
Jun Rong Lau,Data Engineer/Analyst,GrabTaxi Holding Pte Ltd
Junta Nakai,Global VP - Financial Services GTM,Databricks
Justin DeBrabant,SVP of Product,ActionIQ
Justin Lai,Distinguished Data Architect,BlackBerry
Justin Thompson,"Director, IT Data and Analytics",JetBlue
Justin Breese,Staff Product Manager,Databricks
Kannan Alagappan,Senior Vice President and Chief Technology Officer,DISH Network
Karl Albertsen,Head of Generative AI Model Hub,Amazon Web Services
Karthik Ramasamy,Head of Streaming,Databricks
Kasey Uhlenhuth,Staff Product Manager,Databricks
Keith Anderson,Solution Principal,Hitachi Solutions
Kelly Albano,Product Marketing Manager,Databricks
Ken Priyadarshi,Global Tax Prompt Engineering Leader,EY
Keshav Santhanam,PhD Student,Stanford University
Keyuri Shah,Lead Software Engineer,Northwestern Mutual Insurance
Kieran Taylor,Senior Software Engineer II,Instacart
Kori O'Brien,,Databricks
Krishti Bikal,Senior Executive - Director BI & Analytics,Emerald
Kristen Odonnell,Federal Director - National Security,Databricks
Kyle Hale,Product Specialist,Databricks
Kylie Taylor,Data Scientist,Mars Petcare
Lakhan Prajapati,Director of Architecture and Engineering,ZS associates
Lakshmi Jagannathan,Head of Databricks CoE,EPAM UK
Larry Feinsmith,"Head of Global Tech Strategy, Innovation and Partnerships",JP Morgan Chase & Co.
Lauren Schwartz,Vice President of Enterprise Sales,Fivetran
Layla Yang,"Industry Vertical Lead SA - Communications, Media & Entertainment",Databricks
Lee Yang,Sr. Principal SW Engineer,NVIDIA
Leo Duncan,Sr. Solutions Architect,Kyvos Insights Inc.
Leon Eller,Sr Solutions Architect,Databricks
Lewis Mbae,Head of Customer Engineering,RudderStack
Lin Qiao,"Former Head of PyTorch, Co-founder and CEO",Fireworks
